  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01.DAT
  CHANNEL=             1
  CHANNEL_DESCRIPTION= Triax 1 X
  RMS LEVEL VS TIME
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  1.9531250E-05
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Rion 1
  TITL01=            Title Block 1
  FRAC-OCT_FREQENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    4419.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:26.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  8.15    ,  19.6    ,  10.3    ,  15.0    ,  34.5    ,  40.6    ,  46.9    ,  53.6    ,  53.5    ,  61.2    ,  64.3    ,  64.9    ,  65.2    ,  63.9    ,  67.0    ,  63.2    ,  57.7    ,  69.1    ,  63.2    ,  59.3    ,  63.3    ,  69.0    ,  59.7    ,  63.6    ,  68.0    ,  72.1    ,  75.4    ,  72.8    ,  100.    ,  102.    ,  102.    ,  102.    ,  112.    , 7.819E-03, 8.794E-03, 1.414E-02, 1.293E-02, 1.258E-02, 7.714E-03, 1.680E-02,-2.334E-02, 2.334E-02,-3.483E-03, 1.092E-02, 1.588E-02,
    4420.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:27.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  5.33    ,  24.8    ,  15.9    ,  17.5    ,  38.4    ,  47.5    ,  52.4    ,  61.8    ,  63.4    ,  63.2    ,  68.3    ,  70.1    ,  65.9    ,  63.6    ,  66.5    ,  68.8    ,  69.7    ,  69.8    ,  66.0    ,  67.7    ,  66.6    ,  67.0    ,  63.4    ,  61.1    ,  67.0    ,  68.9    ,  74.0    ,  80.9    ,  98.2    ,  99.8    ,  100.    ,  101.    ,  113.    , 2.381E-02, 2.599E-02, 3.740E-02, 3.239E-02, 3.519E-02, 2.327E-02, 7.474E-02,-4.363E-02, 7.474E-02, 1.278E-02, 3.435E-02, 3.926E-02,
    4421.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:28.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  12.3    ,  23.1    ,  21.7    ,  31.1    ,  41.0    ,  54.0    ,  54.9    ,  67.4    ,  68.4    ,  68.8    ,  70.8    ,  74.4    ,  59.2    ,  62.6    ,  69.2    ,  74.7    ,  80.7    ,  86.2    ,  72.2    ,  70.4    ,  70.0    ,  70.6    ,  64.8    ,  64.1    ,  67.5    ,  68.7    ,  73.1    ,  82.2    ,  98.0    ,  100.    ,  101.    ,  101.    ,  111.    , 3.279E-02, 3.488E-02, 4.395E-02, 3.871E-02, 4.238E-02, 3.198E-02, 6.373E-02,-7.255E-02, 7.255E-02,-1.100E-02, 4.405E-02, 4.345E-02,
    4422.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:29.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  14.0    ,  18.9    ,  29.7    ,  36.8    ,  44.4    ,  58.1    ,  54.1    ,  70.8    ,  72.6    ,  71.3    ,  68.5    ,  74.5    ,  64.5    ,  63.2    ,  72.3    ,  71.4    ,  68.5    ,  88.4    ,  80.6    ,  75.1    ,  71.6    ,  74.3    ,  63.1    ,  65.7    ,  70.0    ,  70.3    ,  73.6    ,  81.5    ,  99.4    ,  101.    ,  101.    ,  101.    ,  112.    , 2.774E-02, 2.920E-02, 3.447E-02, 2.801E-02, 3.538E-02, 2.726E-02, 3.809E-02,-7.643E-02, 7.643E-02,-1.527E-02, 3.820E-02, 3.212E-02,
    4423.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:30.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  23.7    ,  24.9    ,  32.6    ,  40.0    ,  49.4    ,  61.7    ,  65.1    ,  72.3    ,  73.7    ,  76.0    ,  70.2    ,  77.9    ,  74.8    ,  71.3    ,  70.0    ,  72.4    ,  69.0    ,  83.5    ,  85.4    ,  74.0    ,  67.5    ,  73.0    ,  64.0    ,  63.1    ,  68.4    ,  71.5    ,  73.9    ,  79.9    ,  97.6    ,  99.1    ,  100.    ,  100.    ,  114.    , 3.120E-02, 3.420E-02, 5.107E-02, 4.712E-02, 4.120E-02, 3.085E-02, 9.018E-02,-6.158E-02, 9.018E-02, 1.226E-02, 4.195E-02, 5.435E-02,
    4424.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:31.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  20.5    ,  31.1    ,  38.3    ,  46.0    ,  55.4    ,  66.4    ,  72.4    ,  74.4    ,  71.1    ,  79.5    ,  66.2    ,  80.9    ,  76.3    ,  70.4    ,  72.4    ,  72.9    ,  73.3    ,  73.6    ,  89.0    ,  73.3    ,  75.8    ,  75.3    ,  61.7    ,  64.0    ,  69.6    ,  75.2    ,  78.5    ,  85.6    ,  99.3    ,  101.    ,  102.    ,  102.    ,  114.    , 3.632E-02, 3.668E-02, 3.933E-02, 3.198E-02, 3.688E-02, 3.585E-02, 8.026E-02,-4.056E-02, 8.026E-02, 8.148E-03, 4.665E-02, 3.983E-02,
    4425.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:32.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  28.4    ,  34.5    ,  45.4    ,  53.1    ,  61.0    ,  67.1    ,  77.3    ,  78.2    ,  73.0    ,  77.6    ,  75.5    ,  74.3    ,  75.2    ,  69.5    ,  70.3    ,  69.6    ,  72.2    ,  80.3    ,  89.5    ,  89.5    ,  80.1    ,  75.6    ,  67.3    ,  66.9    ,  69.0    ,  75.3    ,  76.2    ,  83.9    ,  108.    ,  110.    ,  110.    ,  110.    ,  119.    , 4.580E-02, 4.907E-02, 6.472E-02, 5.647E-02, 5.539E-02, 4.515E-02, 7.928E-02,-0.120    , 0.120    , 2.246E-03, 6.692E-02, 7.531E-02,
    4426.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:33.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  30.8    ,  34.8    ,  47.3    ,  58.1    ,  65.5    ,  72.0    ,  81.9    ,  80.1    ,  83.2    ,  76.4    ,  78.3    ,  79.1    ,  75.9    ,  78.1    ,  75.1    ,  68.8    ,  75.2    ,  80.7    ,  83.2    ,  88.7    ,  80.4    ,  76.0    ,  70.7    ,  67.0    ,  70.9    ,  73.3    ,  77.4    ,  84.7    ,  108.    ,  109.    ,  110.    ,  110.    ,  118.    , 4.161E-02, 4.520E-02, 6.084E-02, 4.827E-02, 5.522E-02, 4.016E-02, 0.122    ,-8.389E-02, 0.122    , 1.640E-02, 5.678E-02, 5.753E-02,
    4427.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:34.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  23.2    ,  41.5    ,  50.0    ,  61.1    ,  68.9    ,  75.1    ,  82.0    ,  78.2    ,  87.3    ,  83.5    ,  71.3    ,  84.6    ,  85.8    ,  82.4    ,  81.7    ,  79.1    ,  72.6    ,  78.7    ,  77.0    ,  86.5    ,  75.3    ,  72.8    ,  68.0    ,  67.8    ,  71.4    ,  75.5    ,  79.1    ,  85.5    ,  98.0    ,  101.    ,  102.    ,  102.    ,  114.    , 3.654E-02, 4.001E-02, 6.055E-02, 5.677E-02, 5.785E-02, 3.565E-02, 8.273E-02,-8.425E-02, 8.425E-02, 6.857E-03, 5.353E-02, 6.296E-02,
    4428.085,Triax 1 X_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:35.542,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.570E-02,3RD_OCT, 0.25 ,  30.9    ,  39.9    ,  55.6    ,  62.9    ,  71.7    ,  77.9    ,  83.7    ,  71.9    ,  89.1    ,  84.9    ,  74.7    ,  85.8    ,  81.3    ,  86.7    ,  76.5    ,  79.0    ,  77.1    ,  79.0    ,  83.7    ,  86.5    ,  79.4    ,  77.4    ,  72.9    ,  68.2    ,  73.9    ,  72.5    ,  76.3    ,  85.6    ,  101.    ,  104.    ,  104.    ,  104.    ,  115.    , 3.675E-02, 3.751E-02, 4.074E-02, 2.955E-02, 2.747E-02, 3.485E-02, 4.796E-02,-8.193E-02, 8.193E-02,-2.776E-03, 5.187E-02, 3.849E-02,
