  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01.DAT
  CHANNEL=             3
  CHANNEL_DESCRIPTION= Triax 1 Z
  RMS LEVEL VS TIME
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  1.9531250E-05
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Rion 1
  TITL01=            Title Block 1
  FRAC-OCT_FREQENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    4419.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:26.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 , 5.550E-03,  4.40    ,  8.43    ,  23.6    ,  22.6    ,  33.5    ,  40.4    ,  45.3    ,  60.4    ,  65.3    ,  67.7    ,  67.3    ,  75.1    ,  60.0    ,  54.0    ,  68.1    ,  76.9    ,  72.5    ,  69.2    ,  69.2    ,  81.5    ,  83.3    ,  78.9    ,  76.6    ,  77.7    ,  76.4    ,  82.1    ,  78.5    ,  103.    ,  105.    ,  105.    ,  105.    ,  115.    , 2.009E-02, 2.145E-02, 3.161E-02, 2.696E-02, 2.807E-02, 2.014E-02, 5.023E-02,-5.037E-02, 5.037E-02,-3.210E-03, 2.662E-02, 3.217E-02,
    4420.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:27.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  12.4    ,  5.91    ,  16.4    ,  28.6    ,  32.1    ,  38.4    ,  46.5    ,  55.2    ,  66.7    ,  71.8    ,  71.4    ,  70.1    ,  67.3    ,  62.5    ,  65.5    ,  67.4    ,  70.3    ,  75.3    ,  70.1    ,  71.9    ,  73.6    ,  78.8    ,  81.2    ,  78.3    ,  76.1    ,  77.8    ,  78.9    ,  85.6    ,  102.    ,  103.    ,  103.    ,  103.    ,  115.    , 2.017E-02, 2.010E-02, 2.640E-02, 2.176E-02, 2.043E-02, 2.002E-02, 3.259E-02,-3.054E-02, 3.259E-02, 4.415E-03, 2.587E-02, 2.382E-02,
    4421.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:28.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  15.8    ,  17.7    ,  20.0    ,  32.7    ,  40.2    ,  42.6    ,  49.3    ,  61.9    ,  72.3    ,  79.4    ,  74.9    ,  73.9    ,  72.8    ,  66.3    ,  69.2    ,  65.3    ,  74.6    ,  79.3    ,  72.7    ,  75.2    ,  85.0    ,  84.6    ,  77.9    ,  86.4    ,  76.7    ,  76.0    ,  81.1    ,  87.6    ,  102.    ,  103.    ,  103.    ,  103.    ,  114.    , 2.477E-02, 2.404E-02, 2.423E-02, 1.776E-02, 1.846E-02, 2.449E-02, 4.115E-02,-2.500E-02, 4.115E-02, 3.433E-03, 3.079E-02, 2.181E-02,
    4422.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:29.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  8.90    ,  12.3    ,  25.6    ,  37.0    ,  46.2    ,  47.1    ,  51.1    ,  65.8    ,  73.1    ,  84.4    ,  83.3    ,  75.5    ,  74.1    ,  62.0    ,  62.5    ,  67.2    ,  68.2    ,  87.1    ,  82.3    ,  72.2    ,  83.1    ,  77.7    ,  78.1    ,  81.4    ,  79.8    ,  78.5    ,  81.6    ,  84.0    ,  103.    ,  104.    ,  104.    ,  105.    ,  116.    , 3.842E-02, 3.853E-02, 3.611E-02, 2.274E-02, 2.364E-02, 3.764E-02, 5.164E-02,-4.542E-02, 5.164E-02,-6.545E-04, 4.802E-02, 3.065E-02,
    4423.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:30.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  20.0    ,  19.8    ,  31.5    ,  41.4    ,  50.4    ,  52.3    ,  52.5    ,  67.9    ,  71.0    ,  84.5    ,  85.7    ,  72.0    ,  72.5    ,  72.8    ,  62.2    ,  70.1    ,  71.5    ,  85.6    ,  89.3    ,  83.3    ,  83.2    ,  79.4    ,  79.6    ,  81.8    ,  81.8    ,  79.5    ,  80.1    ,  83.4    ,  102.    ,  103.    ,  104.    ,  104.    ,  117.    , 3.420E-02, 3.472E-02, 3.658E-02, 2.803E-02, 2.952E-02, 3.359E-02, 5.823E-02,-5.781E-02, 5.823E-02,-2.637E-03, 4.342E-02, 3.267E-02,
    4424.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:31.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  22.3    ,  21.5    ,  31.8    ,  46.3    ,  53.6    ,  57.1    ,  51.1    ,  68.5    ,  68.4    ,  78.3    ,  80.5    ,  74.7    ,  75.4    ,  75.5    ,  68.1    ,  73.2    ,  77.1    ,  77.7    ,  87.1    ,  77.5    ,  76.3    ,  80.7    ,  77.2    ,  80.4    ,  82.4    ,  80.9    ,  84.6    ,  88.5    ,  103.    ,  104.    ,  105.    ,  105.    ,  116.    , 3.203E-02, 3.144E-02, 2.942E-02, 2.124E-02, 2.162E-02, 3.153E-02, 5.760E-02,-3.120E-02, 5.760E-02, 7.990E-03, 3.858E-02, 2.602E-02,
    4425.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:32.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  21.5    ,  22.9    ,  34.0    ,  49.8    ,  55.9    ,  60.1    ,  56.8    ,  66.8    ,  72.5    ,  77.0    ,  75.3    ,  75.0    ,  74.9    ,  72.7    ,  71.8    ,  76.7    ,  68.7    ,  79.0    ,  87.4    ,  94.2    ,  81.5    ,  78.6    ,  81.3    ,  77.9    ,  83.4    ,  82.5    ,  82.5    ,  87.4    ,  111.    ,  113.    ,  113.    ,  113.    ,  122.    , 6.556E-02, 6.431E-02, 5.629E-02, 3.343E-02, 3.405E-02, 6.471E-02, 5.248E-02,-7.751E-02, 7.751E-02,-9.521E-03, 7.739E-02, 3.959E-02,
    4426.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:33.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  28.8    ,  31.5    ,  37.9    ,  51.8    ,  57.3    ,  62.0    ,  66.3    ,  68.8    ,  76.6    ,  82.8    ,  81.5    ,  71.4    ,  73.1    ,  74.1    ,  79.1    ,  76.8    ,  76.8    ,  83.9    ,  78.5    ,  96.8    ,  87.6    ,  83.3    ,  82.1    ,  77.5    ,  86.5    ,  85.1    ,  84.5    ,  85.2    ,  111.    ,  112.    ,  112.    ,  112.    ,  122.    , 5.747E-02, 5.555E-02, 4.920E-02, 3.202E-02, 3.095E-02, 5.680E-02, 5.878E-02,-5.930E-02, 5.930E-02, 3.948E-03, 6.955E-02, 3.951E-02,
    4427.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:34.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  22.9    ,  31.0    ,  35.7    ,  53.2    ,  58.0    ,  64.8    ,  72.9    ,  76.1    ,  79.3    ,  82.2    ,  86.1    ,  75.1    ,  73.8    ,  75.7    ,  66.3    ,  75.7    ,  78.4    ,  74.5    ,  77.1    ,  90.3    ,  83.2    ,  80.2    ,  89.8    ,  81.3    ,  80.0    ,  83.2    ,  82.8    ,  88.3    ,  102.    ,  104.    ,  105.    ,  105.    ,  117.    , 4.100E-02, 4.387E-02, 6.433E-02, 5.189E-02, 5.210E-02, 4.083E-02, 0.105    ,-0.118    , 0.118    ,-2.591E-04, 5.767E-02, 6.559E-02,
    4428.085,Triax 1 Z_Rion1,003_40_MPH_rion_1_WR_001_20200522_011314_0001-LX01_05m22d2020y01:13:35.542,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 0.102    ,3RD_OCT, 0.25 ,  30.5    ,  34.1    ,  35.8    ,  55.3    ,  58.1    ,  64.9    ,  75.0    ,  80.1    ,  81.7    ,  78.1    ,  87.8    ,  76.8    ,  68.0    ,  76.9    ,  74.3    ,  73.6    ,  82.0    ,  80.4    ,  76.2    ,  86.4    ,  89.1    ,  83.8    ,  88.9    ,  86.2    ,  85.5    ,  84.4    ,  82.9    ,  87.1    ,  105.    ,  106.    ,  106.    ,  107.    ,  118.    , 4.304E-02, 4.298E-02, 5.720E-02, 5.309E-02, 5.309E-02, 4.279E-02, 0.112    ,-0.112    , 0.112    , 1.723E-03, 5.640E-02, 6.578E-02,
