  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01.DAT
  CHANNEL=             3
  CHANNEL_DESCRIPTION= Triax 6 Z
  RUNNING AVERAGE VS TIME: NAVE=           5  WINDOW: SEC=    5.000000    
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  1.9531250E-05
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Rion 4
  TITL01=            Title Block 1
  FRAC-OCT_FREQUENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    4549.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:42.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  5.03    ,  2.17    , -4.01    ,  2.60    ,  17.0    ,  28.0    ,  39.2    ,  46.3    ,  49.9    ,  46.2    ,  54.8    ,  56.4    ,  54.2    ,  53.9    ,  51.8    ,  58.0    ,  60.3    ,  66.2    ,  70.2    ,  74.7    ,  83.0    ,  86.1    ,  76.2    ,  70.2    ,  78.9    ,  72.9    ,  76.3    ,  72.7    ,  94.7    ,  94.5    ,  95.2    ,  95.3    ,  113.    , 1.572E-02, 1.415E-02, 1.135E-02, 6.004E-03, 6.661E-03, 1.562E-02, 3.077E-02,-2.706E-02, 3.077E-02,-2.266E-04, 4.250E-02, 1.628E-02,
    4550.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:43.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  6.06    ,  9.93    ,  3.38    ,  7.42    ,  24.8    ,  32.2    ,  44.7    ,  51.0    ,  53.7    ,  57.7    ,  56.5    ,  65.8    ,  60.7    ,  57.3    ,  58.6    ,  64.0    ,  70.5    ,  68.6    ,  72.0    ,  76.6    ,  84.2    ,  87.7    ,  79.1    ,  74.4    ,  80.8    ,  75.9    ,  79.6    ,  76.5    ,  97.5    ,  97.4    ,  98.2    ,  98.4    ,  115.    , 2.222E-02, 2.165E-02, 2.572E-02, 1.952E-02, 1.970E-02, 2.221E-02, 8.036E-02,-6.074E-02, 8.036E-02, 6.725E-04, 5.418E-02, 4.737E-02,
    4551.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:44.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  8.01    ,  10.5    ,  7.16    ,  15.2    ,  32.0    ,  35.1    ,  49.2    ,  54.5    ,  59.5    ,  63.8    ,  68.3    ,  69.9    ,  66.7    ,  58.6    ,  60.8    ,  67.5    ,  71.0    ,  70.6    ,  74.1    ,  77.3    ,  85.2    ,  88.5    ,  81.2    ,  77.8    ,  82.1    ,  77.7    ,  80.5    ,  78.4    ,  99.2    ,  99.0    ,  99.7    ,  99.9    ,  115.    , 2.527E-02, 2.419E-02, 2.750E-02, 2.085E-02, 2.096E-02, 2.523E-02, 8.036E-02,-6.074E-02, 8.036E-02, 1.007E-03, 5.590E-02, 4.777E-02,
    4552.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:45.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  11.2    ,  11.8    ,  9.38    ,  19.1    ,  37.8    ,  37.6    ,  51.6    ,  58.5    ,  63.7    ,  67.7    ,  79.0    ,  79.1    ,  69.2    ,  61.5    ,  63.6    ,  68.4    ,  71.5    ,  74.8    ,  74.8    ,  77.8    ,  86.3    ,  90.0    ,  84.8    ,  82.1    ,  84.7    ,  78.3    ,  81.2    ,  80.4    ,  101.    ,  101.    ,  102.    ,  102.    ,  115.    , 3.002E-02, 2.846E-02, 3.101E-02, 2.289E-02, 2.314E-02, 2.992E-02, 8.036E-02,-6.074E-02, 8.036E-02, 1.713E-03, 6.076E-02, 4.899E-02,
    4553.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:46.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  11.7    ,  12.0    ,  13.0    ,  20.6    ,  42.4    ,  41.8    ,  52.4    ,  62.4    ,  66.4    ,  72.7    ,  83.7    ,  81.9    ,  71.5    ,  63.6    ,  67.0    ,  72.4    ,  73.2    ,  78.2    ,  80.0    ,  78.6    ,  87.0    ,  90.6    ,  85.5    ,  82.5    ,  86.8    ,  79.3    ,  81.6    ,  81.3    ,  103.    ,  102.    ,  103.    ,  103.    ,  115.    , 3.659E-02, 3.545E-02, 3.832E-02, 2.773E-02, 2.801E-02, 3.630E-02, 8.036E-02,-6.443E-02, 8.036E-02, 9.602E-04, 7.216E-02, 5.466E-02,
    4554.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:47.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  13.8    ,  12.9    ,  18.7    ,  21.2    ,  46.2    ,  49.2    ,  52.6    ,  65.0    ,  66.7    ,  74.9    ,  85.3    ,  83.0    ,  73.5    ,  71.4    ,  68.8    ,  74.2    ,  74.2    ,  80.7    ,  84.5    ,  80.8    ,  85.9    ,  88.8    ,  85.7    ,  83.4    ,  88.4    ,  79.2    ,  81.1    ,  81.6    ,  103.    ,  102.    ,  103.    ,  103.    ,  115.    , 3.911E-02, 3.826E-02, 4.002E-02, 2.808E-02, 2.810E-02, 3.869E-02, 8.036E-02,-6.443E-02, 8.036E-02, 1.533E-03, 7.631E-02, 5.485E-02,
    4555.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:48.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  15.9    ,  15.4    ,  22.0    ,  26.2    ,  49.4    ,  55.0    ,  56.5    ,  66.8    ,  67.9    ,  75.5    ,  85.5    ,  84.6    ,  77.0    ,  74.5    ,  71.2    ,  74.9    ,  74.6    ,  80.8    ,  87.6    ,  81.5    ,  86.2    ,  89.2    ,  86.3    ,  83.8    ,  89.2    ,  80.0    ,  80.0    ,  81.5    ,  103.    ,  102.    ,  103.    ,  103.    ,  115.    , 4.162E-02, 4.015E-02, 3.784E-02, 2.486E-02, 2.492E-02, 4.109E-02, 7.434E-02,-6.443E-02, 7.434E-02, 3.462E-04, 7.897E-02, 4.833E-02,
    4556.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:49.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  16.3    ,  16.8    ,  24.6    ,  31.5    ,  52.2    ,  58.6    ,  60.4    ,  69.1    ,  72.1    ,  77.1    ,  85.6    ,  85.2    ,  79.2    ,  74.6    ,  72.6    ,  75.1    ,  75.2    ,  81.4    ,  88.3    ,  83.7    ,  87.0    ,  89.4    ,  86.3    ,  83.4    ,  90.0    ,  81.3    ,  82.8    ,  81.5    ,  102.    ,  102.    ,  103.    ,  103.    ,  115.    , 4.615E-02, 4.490E-02, 4.374E-02, 2.947E-02, 3.059E-02, 4.554E-02, 8.178E-02,-7.630E-02, 8.178E-02,-2.072E-03, 8.658E-02, 5.663E-02,
    4557.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:50.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  19.7    ,  20.1    ,  28.5    ,  36.2    ,  54.6    ,  61.8    ,  64.5    ,  72.4    ,  74.5    ,  79.4    ,  85.2    ,  84.3    ,  80.1    ,  75.7    ,  74.9    ,  75.3    ,  76.3    ,  82.7    ,  88.5    ,  88.2    ,  87.6    ,  89.0    ,  85.7    ,  82.5    ,  90.2    ,  82.2    ,  85.1    ,  81.8    ,  101.    ,  101.    ,  102.    ,  103.    ,  115.    , 5.024E-02, 4.890E-02, 4.716E-02, 3.248E-02, 3.285E-02, 4.953E-02, 9.277E-02,-7.630E-02, 9.277E-02, 3.702E-04, 9.400E-02, 6.086E-02,
    4558.931,Triax 6 Z_Rion4,003_40_MPH_rion_4_WR_001_20200522_011536_0001-LX01_05m22d2020y01:15:51.965,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 1.020E-02,3RD_OCT, 0.25 ,  20.7    ,  21.7    ,  30.3    ,  40.2    ,  56.7    ,  64.9    ,  66.2    ,  75.7    ,  75.1    ,  80.9    ,  84.0    ,  83.2    ,  80.4    ,  77.6    ,  75.4    ,  75.1    ,  76.5    ,  82.6    ,  88.2    ,  89.5    ,  87.6    ,  89.6    ,  87.4    ,  83.4    ,  90.8    ,  85.5    ,  85.4    ,  82.3    ,  99.4    ,  100.    ,  102.    ,  102.    ,  115.    , 5.107E-02, 4.940E-02, 4.893E-02, 3.452E-02, 3.526E-02, 5.046E-02, 9.277E-02,-9.911E-02, 9.911E-02, 3.025E-04, 9.496E-02, 6.481E-02,
