  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      003_40_MPH_teac_20200522_0119.DAT
  CHANNEL=             4
  CHANNEL_DESCRIPTION= Triax 5 X
  RUNNING AVERAGE VS TIME: NAVE=           5  WINDOW: SEC=    5.000000    
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  3.3333333E-04
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            TEAC
  TITL01=            Title Block 1
  FRAC-OCT_FREQUENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    4765.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:10.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 , -12.0    , -6.50    ,-0.116    ,  10.2    ,  18.8    ,  25.1    ,  28.4    ,  41.6    ,  48.7    ,  41.7    ,  58.2    ,  59.7    ,  65.8    ,  60.1    ,  62.7    ,  55.1    ,  58.6    ,  64.2    ,  55.4    ,  57.8    ,  58.2    ,  58.9    ,  62.3    ,  65.9    ,  67.9    ,  57.7    ,  62.3    ,  66.9    ,  72.1    ,  77.6    ,  78.9    ,  79.5    ,  97.9    , 3.182E-03, 3.312E-03, 4.305E-03, 3.450E-03, 4.077E-03, 3.114E-03, 1.593E-02,-1.828E-02, 1.828E-02,-5.163E-04, 9.686E-03, 8.561E-03,
    4766.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:11.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 , -10.3    ,  1.23    ,  9.58    ,  18.0    ,  26.1    ,  33.4    ,  38.2    ,  49.6    ,  51.6    ,  52.9    ,  60.3    ,  64.6    ,  67.4    ,  62.2    ,  64.6    ,  58.6    ,  60.9    ,  68.1    ,  60.6    ,  60.1    ,  59.8    ,  62.3    ,  67.2    ,  66.6    ,  69.2    ,  63.1    ,  64.9    ,  68.8    ,  76.4    ,  81.4    ,  84.1    ,  85.3    ,  101.    , 8.245E-03, 8.857E-03, 1.125E-02, 8.922E-03, 1.130E-02, 8.035E-03, 4.994E-02,-2.908E-02, 4.994E-02,-9.328E-05, 2.684E-02, 2.248E-02,
    4767.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:12.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,-0.910    ,  6.94    ,  13.3    ,  23.2    ,  31.9    ,  38.4    ,  47.1    ,  55.2    ,  53.5    ,  59.4    ,  64.7    ,  66.7    ,  67.8    ,  65.8    ,  65.6    ,  62.4    ,  74.5    ,  76.5    ,  63.8    ,  65.0    ,  64.1    ,  64.8    ,  68.9    ,  67.6    ,  69.7    ,  66.4    ,  66.5    ,  69.7    ,  79.0    ,  83.9    ,  88.3    ,  89.2    ,  103.    , 1.814E-02, 1.892E-02, 2.041E-02, 1.473E-02, 1.612E-02, 1.766E-02, 4.994E-02,-5.343E-02, 5.343E-02,-3.704E-03, 4.656E-02, 3.263E-02,
    4768.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:13.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 , 0.790    ,  11.3    ,  17.2    ,  26.9    ,  36.4    ,  42.5    ,  53.5    ,  58.8    ,  57.2    ,  61.6    ,  70.6    ,  69.7    ,  68.9    ,  66.9    ,  65.7    ,  64.0    ,  74.8    ,  84.6    ,  73.3    ,  68.0    ,  67.5    ,  68.5    ,  71.4    ,  69.2    ,  70.7    ,  67.6    ,  68.7    ,  71.4    ,  81.6    ,  86.4    ,  89.9    ,  90.9    ,  103.    , 2.046E-02, 2.130E-02, 2.342E-02, 1.763E-02, 1.878E-02, 1.994E-02, 4.994E-02,-5.343E-02, 5.343E-02,-2.460E-03, 4.800E-02, 3.476E-02,
    4769.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:14.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  7.29    ,  16.3    ,  22.7    ,  29.7    ,  39.9    ,  47.1    ,  58.6    ,  61.4    ,  62.1    ,  63.4    ,  74.0    ,  74.2    ,  69.7    ,  67.5    ,  66.6    ,  64.6    ,  75.3    ,  84.9    ,  75.9    ,  75.2    ,  69.0    ,  70.0    ,  72.1    ,  70.4    ,  72.0    ,  68.1    ,  69.8    ,  72.3    ,  84.0    ,  88.6    ,  91.9    ,  93.0    ,  105.    , 2.420E-02, 2.542E-02, 2.966E-02, 2.339E-02, 2.654E-02, 2.364E-02, 7.127E-02,-5.343E-02, 7.127E-02,-9.390E-04, 5.197E-02, 4.678E-02,
    4770.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:15.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  10.1    ,  19.0    ,  24.9    ,  31.7    ,  43.4    ,  53.8    ,  64.4    ,  65.0    ,  65.3    ,  66.4    ,  75.3    ,  75.5    ,  71.3    ,  70.1    ,  65.3    ,  66.0    ,  75.7    ,  85.1    ,  81.6    ,  75.9    ,  70.1    ,  71.4    ,  72.8    ,  70.3    ,  71.0    ,  68.8    ,  70.7    ,  72.7    ,  86.0    ,  90.3    ,  93.5    ,  94.5    ,  107.    , 2.779E-02, 2.943E-02, 3.630E-02, 3.010E-02, 3.146E-02, 2.719E-02, 7.127E-02,-6.282E-02, 7.127E-02,-1.166E-03, 5.746E-02, 5.755E-02,
    4771.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:16.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  13.4    ,  23.6    ,  29.7    ,  33.1    ,  47.6    ,  58.7    ,  69.5    ,  69.2    ,  68.2    ,  69.1    ,  75.8    ,  75.4    ,  73.4    ,  73.2    ,  67.4    ,  66.9    ,  76.1    ,  85.3    ,  83.0    ,  78.8    ,  73.2    ,  73.2    ,  73.1    ,  71.8    ,  72.0    ,  68.6    ,  71.7    ,  73.4    ,  88.4    ,  92.6    ,  95.0    ,  95.9    ,  110.    , 2.987E-02, 3.149E-02, 3.884E-02, 3.278E-02, 3.360E-02, 2.924E-02, 7.127E-02,-7.816E-02, 7.816E-02,-2.873E-03, 5.984E-02, 6.157E-02,
    4772.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:17.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  17.4    ,  25.2    ,  33.3    ,  34.8    ,  52.2    ,  63.1    ,  72.6    ,  73.3    ,  71.3    ,  70.0    ,  75.7    ,  75.6    ,  76.0    ,  75.0    ,  72.6    ,  67.5    ,  72.8    ,  85.1    ,  83.4    ,  83.8    ,  75.2    ,  74.8    ,  75.8    ,  73.1    ,  73.1    ,  69.1    ,  71.9    ,  73.9    ,  90.1    ,  94.1    ,  96.5    ,  97.2    ,  110.    , 3.165E-02, 3.364E-02, 4.439E-02, 3.829E-02, 3.894E-02, 3.114E-02, 7.936E-02,-9.629E-02, 9.629E-02, 2.496E-03, 6.805E-02, 7.215E-02,
    4773.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:18.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  18.3    ,  29.4    ,  34.9    ,  37.9    ,  56.4    ,  68.3    ,  76.2    ,  76.8    ,  74.8    ,  70.6    ,  74.6    ,  77.8    ,  77.4    ,  76.9    ,  74.9    ,  69.0    ,  74.7    ,  79.6    ,  83.3    ,  87.7    ,  76.8    ,  76.2    ,  77.0    ,  73.7    ,  73.3    ,  69.3    ,  71.8    ,  73.7    ,  91.7    ,  95.6    ,  97.9    ,  98.6    ,  110.    , 3.669E-02, 3.865E-02, 5.032E-02, 4.263E-02, 4.310E-02, 3.606E-02, 9.496E-02,-9.629E-02, 9.629E-02, 1.364E-03, 7.674E-02, 7.729E-02,
    4774.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:19.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  22.0    ,  30.4    ,  38.1    ,  41.5    ,  60.0    ,  71.5    ,  78.2    ,  79.6    ,  79.4    ,  75.2    ,  72.7    ,  80.6    ,  77.7    ,  79.6    ,  78.3    ,  70.9    ,  76.2    ,  79.8    ,  83.0    ,  88.5    ,  78.9    ,  77.2    ,  77.9    ,  74.5    ,  73.9    ,  69.5    ,  72.3    ,  74.2    ,  93.2    ,  97.0    ,  98.9    ,  99.4    ,  111.    , 3.844E-02, 4.034E-02, 5.097E-02, 4.181E-02, 4.115E-02, 3.754E-02, 9.496E-02,-9.629E-02, 9.629E-02,-4.019E-04, 7.904E-02, 7.650E-02,
    4775.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:20.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  22.7    ,  34.2    ,  39.7    ,  44.8    ,  63.1    ,  74.3    ,  80.4    ,  81.7    ,  82.4    ,  81.9    ,  79.9    ,  81.0    ,  77.5    ,  83.0    ,  78.7    ,  73.6    ,  76.6    ,  80.5    ,  80.3    ,  88.8    ,  80.7    ,  79.6    ,  79.0    ,  76.5    ,  75.0    ,  69.5    ,  72.3    ,  74.0    ,  94.6    ,  98.4    , 100.0    ,  101.    ,  114.    , 4.000E-02, 4.226E-02, 5.475E-02, 4.465E-02, 4.593E-02, 3.913E-02, 0.109    ,-0.106    , 0.109    ,-5.949E-04, 8.266E-02, 8.269E-02,
    4776.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:21.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  24.5    ,  35.0    ,  40.6    ,  48.1    ,  65.6    ,  77.1    ,  81.6    ,  83.1    ,  84.7    ,  85.6    ,  85.5    ,  82.4    ,  78.5    ,  84.2    ,  79.5    ,  74.1    ,  77.2    ,  81.4    ,  78.4    ,  88.7    ,  81.6    ,  80.1    ,  79.8    ,  77.9    ,  74.8    ,  69.6    ,  72.2    ,  73.9    ,  95.5    ,  99.2    ,  101.    ,  101.    ,  114.    , 4.095E-02, 4.375E-02, 5.916E-02, 4.824E-02, 4.894E-02, 4.015E-02, 0.109    ,-0.106    , 0.109    ,-2.343E-03, 8.385E-02, 8.781E-02,
    4777.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:22.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  25.9    ,  38.3    ,  42.1    ,  51.5    ,  67.6    ,  78.7    ,  82.6    ,  83.8    ,  85.4    ,  87.1    ,  88.3    ,  82.7    ,  78.0    ,  84.2    ,  80.2    ,  75.0    ,  77.2    ,  81.2    ,  78.3    ,  87.6    ,  82.9    ,  81.7    ,  80.3    ,  78.6    ,  74.9    ,  69.2    ,  73.1    ,  74.3    ,  96.6    ,  100.    ,  101.    ,  102.    ,  114.    , 3.857E-02, 4.110E-02, 5.593E-02, 4.622E-02, 4.752E-02, 3.774E-02, 0.109    ,-0.106    , 0.109    ,-2.187E-03, 7.917E-02, 8.463E-02,
    4778.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:23.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  26.2    ,  38.9    ,  42.2    ,  54.6    ,  69.0    ,  79.6    ,  83.0    ,  83.9    ,  85.4    ,  87.7    ,  89.8    ,  82.3    ,  79.6    ,  83.9    ,  80.7    ,  76.7    ,  76.3    ,  82.0    ,  78.7    ,  83.6    ,  83.6    ,  83.5    ,  81.7    ,  79.5    ,  75.4    ,  70.5    ,  73.5    ,  75.7    ,  96.9    ,  101.    ,  102.    ,  102.    ,  114.    , 3.725E-02, 3.983E-02, 5.401E-02, 4.381E-02, 4.453E-02, 3.638E-02, 0.109    ,-0.106    , 0.109    ,-4.599E-03, 7.547E-02, 8.260E-02,
    4779.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:24.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  27.5    ,  41.5    ,  43.1    ,  57.2    ,  70.0    ,  80.5    ,  83.3    ,  83.4    ,  84.7    ,  88.3    ,  90.4    ,  80.8    ,  80.8    ,  83.6    ,  79.7    ,  77.8    ,  77.1    ,  82.7    ,  79.0    ,  79.6    ,  84.3    ,  84.0    ,  81.6    ,  79.8    ,  75.6    ,  70.8    ,  73.6    ,  76.1    ,  97.1    ,  101.    ,  102.    ,  103.    ,  114.    , 4.121E-02, 4.537E-02, 7.031E-02, 6.197E-02, 6.290E-02, 4.083E-02, 0.186    ,-0.157    , 0.186    ,-5.617E-03, 8.676E-02, 0.123    ,
    4780.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:25.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  27.8    ,  42.1    ,  43.5    ,  59.1    ,  70.7    ,  80.9    ,  83.2    ,  82.2    ,  83.3    ,  88.9    ,  90.2    ,  81.3    ,  80.8    ,  81.9    ,  79.9    ,  79.2    ,  78.6    ,  82.8    ,  79.1    ,  77.8    ,  85.3    ,  85.9    ,  84.2    ,  80.1    ,  76.0    ,  71.7    ,  74.4    ,  76.8    ,  96.9    ,  101.    ,  102.    ,  103.    ,  114.    , 4.351E-02, 4.746E-02, 7.252E-02, 6.340E-02, 6.316E-02, 4.301E-02, 0.186    ,-0.157    , 0.186    ,-2.869E-03, 9.004E-02, 0.125    ,
    4781.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:26.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  27.6    ,  44.1    ,  45.9    ,  60.6    ,  71.1    ,  80.5    ,  82.9    ,  80.5    ,  80.9    ,  89.7    ,  89.7    ,  80.1    ,  80.5    ,  83.0    ,  80.1    ,  79.4    ,  80.2    ,  82.5    ,  79.2    ,  78.1    ,  85.2    ,  87.1    ,  84.8    ,  79.8    ,  76.5    ,  72.5    ,  74.8    ,  76.9    ,  96.5    ,  100.    ,  102.    ,  103.    ,  114.    , 4.589E-02, 4.931E-02, 7.131E-02, 6.181E-02, 6.289E-02, 4.517E-02, 0.186    ,-0.157    , 0.186    ,-5.008E-03, 9.334E-02, 0.124    ,
    4782.449,Triax 5 X_Run003,003_40_MPH_teac_20200522_0119_05m22d2020y01:19:27.724,     0.0,GAIN,   5.000,    0.00,  4,DATA,    NONE, 1.000E-06, 0.107    ,3RD_OCT, 0.25 ,  28.0    ,  44.7    ,  48.4    ,  62.4    ,  71.2    ,  80.0    ,  82.4    ,  79.5    ,  80.6    ,  90.9    ,  90.6    ,  80.1    ,  80.4    ,  83.2    ,  80.0    ,  80.2    ,  81.9    ,  85.7    ,  82.6    ,  81.6    ,  84.7    ,  87.6    ,  86.0    ,  80.6    ,  79.3    ,  74.9    ,  78.4    ,  78.4    ,  95.7    ,  99.6    ,  102.    ,  102.    ,  114.    , 5.051E-02, 5.394E-02, 7.401E-02, 6.180E-02, 6.225E-02, 4.954E-02, 0.186    ,-0.157    , 0.186    ,-5.630E-03, 0.100    , 0.124    ,
