  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      N2n0000005.DAT
  CHANNEL=             1
  CHANNEL_DESCRIPTION= Triax 3 X
  RMS LEVEL VS TIME
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  3.3333333E-04
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Title Block 0
  TITL01=            Title Block 1
  FRAC-OCT_FREQENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    5216.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:26:56.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -40.8    , -34.3    , -41.2    , -39.8    , -28.5    , -28.7    , -25.5    , -16.4    , -11.0    , -3.51    ,  4.99    ,  10.9    ,  17.7    ,  26.2    ,  34.4    ,  34.5    ,  34.9    ,  40.1    ,  38.6    ,  48.6    ,  50.4    ,  59.7    ,  59.9    ,  57.9    ,  63.6    ,  62.6    ,  60.1    ,  55.4    ,  74.8    ,  80.8    ,  81.0    ,  81.3    ,  93.9    , 1.343E-03, 1.158E-03, 9.150E-04, 4.926E-04, 1.090E-03, 1.329E-03, 1.073E-04,-1.697E-03, 1.697E-03,-1.038E-03, 1.508E-03, 6.286E-04,
    5217.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:26:57.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -23.0    , -27.1    , -37.8    , -30.3    , -14.0    , -8.15    , -2.08    ,  7.09    ,  14.6    ,  22.1    ,  29.1    ,  30.3    ,  37.2    ,  38.0    ,  44.8    ,  50.1    ,  44.9    ,  43.8    ,  34.7    ,  40.1    ,  50.6    ,  63.2    ,  61.8    ,  61.6    ,  63.5    ,  60.9    ,  59.1    ,  54.7    ,  74.2    ,  80.2    ,  80.4    ,  80.6    ,  93.5    , 1.388E-03, 1.200E-03, 9.119E-04, 3.575E-04, 1.051E-03, 1.368E-03,-1.842E-04,-1.781E-03, 1.781E-03,-9.961E-04, 1.616E-03, 4.702E-04,
    5218.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:26:58.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -18.5    , -18.8    , -13.8    , -14.2    ,-0.706    ,  7.52    ,  14.5    ,  20.2    ,  28.7    ,  34.9    ,  38.6    ,  42.4    ,  45.5    ,  44.4    ,  47.2    ,  52.7    ,  43.5    ,  44.2    ,  43.2    ,  51.4    ,  53.5    ,  64.6    ,  64.0    ,  63.0    ,  64.2    ,  62.9    ,  62.1    ,  54.7    ,  74.6    ,  80.9    ,  81.2    ,  81.4    ,  93.4    , 1.876E-03, 1.646E-03, 1.232E-03, 3.980E-04, 1.105E-03, 1.839E-03,-2.363E-05,-2.168E-03, 2.168E-03,-1.030E-03, 2.198E-03, 5.214E-04,
    5219.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:26:59.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -17.7    , -8.24    , -7.82    ,-0.842    ,  8.54    ,  15.3    ,  22.2    ,  28.4    ,  34.3    ,  40.4    ,  39.2    ,  46.0    ,  44.7    ,  41.1    ,  52.1    ,  57.2    ,  45.6    ,  36.7    ,  40.7    ,  50.0    ,  47.5    ,  64.0    ,  61.8    ,  60.8    ,  62.1    ,  62.3    ,  59.5    ,  54.9    ,  74.7    ,  80.8    ,  81.0    ,  81.3    ,  92.0    , 1.676E-03, 1.535E-03, 1.324E-03, 6.160E-04, 1.219E-03, 1.631E-03, 7.639E-04,-2.420E-03, 2.420E-03,-1.032E-03, 1.986E-03, 7.758E-04,
    5220.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:27:00.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -13.7    , -7.28    , 0.574    ,  9.04    ,  15.8    ,  22.2    ,  29.1    ,  33.3    ,  37.8    ,  41.5    ,  31.6    ,  44.8    ,  38.3    ,  52.5    ,  47.7    ,  57.2    ,  48.7    ,  44.0    ,  41.9    ,  48.4    ,  51.9    ,  62.9    ,  62.0    ,  62.6    ,  64.5    ,  62.4    ,  58.6    ,  54.6    ,  74.4    ,  80.5    ,  80.8    ,  81.0    ,  90.9    , 1.575E-03, 1.366E-03, 1.098E-03, 5.977E-04, 9.931E-04, 1.550E-03, 4.285E-04,-2.355E-03, 2.355E-03,-8.290E-04, 1.743E-03, 7.578E-04,
    5221.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:27:01.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -13.1    ,  1.99    ,  9.28    ,  15.8    ,  21.4    ,  28.7    ,  33.9    ,  35.9    ,  37.1    ,  40.8    ,  41.9    ,  48.5    ,  44.6    ,  51.2    ,  46.9    ,  54.6    ,  42.6    ,  41.1    ,  36.5    ,  42.8    ,  46.1    ,  64.2    ,  61.8    ,  61.0    ,  65.7    ,  63.7    ,  59.1    ,  54.8    ,  74.7    ,  81.0    ,  81.2    ,  81.4    ,  94.1    , 1.559E-03, 1.350E-03, 1.025E-03, 3.819E-04, 8.892E-04, 1.536E-03, 1.197E-04,-1.818E-03, 1.818E-03,-8.051E-04, 1.695E-03, 4.805E-04,
    5222.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:27:02.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 ,-4.087E-02,  4.78    ,  10.8    ,  19.7    ,  25.8    ,  31.7    ,  35.6    ,  36.0    ,  38.4    ,  41.4    ,  45.7    ,  48.2    ,  46.8    ,  43.9    ,  44.4    ,  54.5    ,  56.8    ,  60.0    ,  59.7    ,  71.4    ,  71.1    ,  76.3    ,  78.0    ,  74.6    ,  75.4    ,  75.9    ,  73.8    ,  77.5    ,  85.5    ,  92.0    ,  92.4    ,  92.5    ,  109.    , 8.721E-03, 7.730E-03, 5.522E-03, 1.596E-03, 1.779E-03, 8.589E-03, 4.546E-03,-7.586E-03, 7.586E-03,-7.831E-04, 1.253E-02, 2.387E-03,
    5223.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:27:03.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 , -1.70    ,  10.8    ,  16.9    ,  22.2    ,  29.1    ,  33.3    ,  38.8    ,  35.3    ,  43.6    ,  42.2    ,  42.2    ,  48.3    ,  51.2    ,  51.5    ,  60.5    ,  69.0    ,  61.0    ,  59.3    ,  54.2    ,  68.0    ,  60.9    ,  68.1    ,  66.1    ,  62.6    ,  64.8    ,  63.6    ,  60.6    ,  56.0    ,  76.5    ,  82.7    ,  83.0    ,  83.1    ,  94.1    , 2.439E-03, 2.258E-03, 1.786E-03, 5.532E-04, 1.042E-03, 2.371E-03, 4.357E-04,-2.664E-03, 2.664E-03,-8.822E-04, 2.934E-03, 7.199E-04,
    5224.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:27:04.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 ,  7.45    ,  13.6    ,  22.0    ,  25.7    ,  31.5    ,  36.1    ,  38.7    ,  39.2    ,  45.5    ,  37.4    ,  35.1    ,  49.0    ,  49.3    ,  49.7    ,  53.9    ,  60.8    ,  50.3    ,  44.1    ,  43.0    ,  51.3    ,  51.8    ,  63.6    ,  62.5    ,  63.1    ,  64.5    ,  63.2    ,  61.6    ,  57.4    ,  76.8    ,  83.4    ,  83.5    ,  83.7    ,  94.2    , 1.589E-03, 1.355E-03, 1.015E-03, 4.781E-04, 1.025E-03, 1.576E-03, 3.127E-04,-2.439E-03, 2.439E-03,-8.873E-04, 1.804E-03, 6.824E-04,
    5225.000,Triax 3 X_entire,N2n0000005_05m24d2020y01:27:05.000,     0.0,GAIN,   1.000,    0.00,  1,DATA,    NONE, 1.000E-06, 9.730E-02,3RD_OCT, 0.25 ,  10.5    ,  17.0    ,  21.2    ,  29.6    ,  33.1    ,  38.2    ,  38.0    ,  43.2    ,  44.3    ,  35.1    ,  34.5    ,  46.2    ,  39.2    ,  45.0    ,  46.9    ,  50.9    ,  47.0    ,  46.2    ,  44.1    ,  50.6    ,  52.1    ,  63.6    ,  62.5    ,  61.8    ,  63.1    ,  60.8    ,  61.1    ,  57.0    ,  75.1    ,  81.4    ,  81.5    ,  81.8    ,  92.5    , 1.467E-03, 1.297E-03, 1.039E-03, 4.621E-04, 7.982E-04, 1.446E-03, 6.521E-04,-1.763E-03, 1.763E-03,-6.891E-04, 1.700E-03, 6.880E-04,
