  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      N2n0000005.DAT
  CHANNEL=             2
  CHANNEL_DESCRIPTION= Triax 3 Y
  RMS LEVEL VS TIME
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  3.3333333E-04
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Title Block 0
  TITL01=            Title Block 1
  FRAC-OCT_FREQENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    5216.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:26:56.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 , -31.5    , -24.0    , -30.9    , -28.1    , -19.6    , -18.7    , -16.4    , -7.55    , -3.25    ,  4.52    ,  13.2    ,  20.3    ,  27.8    ,  35.3    ,  40.1    ,  45.1    ,  44.6    ,  44.2    ,  46.0    ,  47.0    ,  45.5    ,  61.0    ,  64.9    ,  57.7    ,  56.4    ,  54.5    ,  55.1    ,  54.6    ,  74.1    ,  79.4    ,  79.6    ,  80.8    ,  92.1    , 1.591E-03, 1.447E-03, 1.513E-03, 1.199E-03, 3.428E-03, 1.574E-03, 4.236E-03,-2.283E-08, 4.236E-03, 3.370E-03, 1.908E-03, 1.545E-03,
    5217.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:26:57.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 , -13.1    , -15.9    , -29.7    , -20.8    , -4.50    , 0.720    ,  7.53    ,  16.1    ,  22.7    ,  28.8    ,  35.1    ,  40.3    ,  46.4    ,  48.5    ,  48.0    ,  46.9    ,  41.4    ,  36.8    ,  35.9    ,  49.3    ,  46.8    ,  62.7    ,  65.2    ,  59.8    ,  57.7    ,  56.7    ,  54.1    ,  54.1    ,  73.2    ,  78.7    ,  79.0    ,  80.0    ,  90.7    , 1.465E-03, 1.259E-03, 9.693E-04, 5.328E-04, 3.418E-03, 1.450E-03, 4.101E-03, 2.688E-03, 4.101E-03, 3.406E-03, 1.535E-03, 6.682E-04,
    5218.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:26:58.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 , -7.73    , -8.97    , -3.95    , -4.75    ,  9.28    ,  17.0    ,  23.9    ,  29.6    ,  36.0    ,  41.0    ,  43.6    ,  45.8    ,  47.8    ,  45.1    ,  46.1    ,  47.2    ,  38.4    ,  40.0    ,  45.7    ,  51.4    ,  56.4    ,  63.2    ,  66.6    ,  60.9    ,  56.3    ,  56.2    ,  58.8    ,  55.4    ,  73.4    ,  79.1    ,  79.4    ,  80.2    ,  92.1    , 1.600E-03, 1.385E-03, 9.706E-04, 3.062E-04, 3.272E-03, 1.582E-03, 4.013E-03, 2.413E-03, 4.013E-03, 3.257E-03, 1.820E-03, 3.968E-04,
    5219.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:26:59.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 , -7.30    ,  2.24    ,  1.84    ,  9.59    ,  18.7    ,  25.3    ,  31.3    ,  37.9    ,  42.3    ,  45.6    ,  44.4    ,  42.0    ,  43.1    ,  41.2    ,  45.0    ,  52.8    ,  45.6    ,  43.9    ,  45.5    ,  50.8    ,  52.3    ,  62.9    ,  65.9    ,  55.5    ,  59.1    ,  55.6    ,  56.7    ,  53.8    ,  73.0    ,  78.7    ,  79.0    ,  79.9    ,  90.3    , 1.545E-03, 1.368E-03, 1.064E-03, 4.402E-04, 3.185E-03, 1.519E-03, 4.174E-03, 2.199E-03, 4.174E-03, 3.154E-03, 1.782E-03, 5.455E-04,
    5220.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:27:00.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 , -3.40    ,  2.63    ,  11.2    ,  19.5    ,  26.1    ,  31.6    ,  38.8    ,  42.9    ,  46.0    ,  44.9    ,  39.2    ,  28.4    ,  33.8    ,  49.4    ,  47.3    ,  49.5    ,  43.5    ,  37.9    ,  40.8    ,  50.2    ,  43.7    ,  62.6    ,  66.7    ,  56.9    ,  57.6    ,  56.3    ,  54.3    ,  55.9    ,  72.8    ,  78.5    ,  78.9    ,  79.8    ,  89.9    , 1.575E-03, 1.369E-03, 1.035E-03, 4.277E-04, 3.060E-03, 1.559E-03, 4.011E-03, 2.205E-03, 4.011E-03, 3.029E-03, 1.710E-03, 5.247E-04,
    5221.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:27:01.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 , -3.23    ,  12.6    ,  19.6    ,  26.0    ,  31.7    ,  38.4    ,  42.7    ,  45.5    ,  44.8    ,  39.2    ,  34.5    ,  26.0    ,  49.8    ,  52.5    ,  43.5    ,  49.6    ,  40.2    ,  34.0    ,  36.2    ,  46.3    ,  48.7    ,  63.6    ,  65.5    ,  56.9    ,  59.9    ,  53.8    ,  54.2    ,  56.4    ,  73.2    ,  78.8    ,  79.1    ,  80.0    ,  89.9    , 1.504E-03, 1.272E-03, 8.553E-04, 2.500E-04, 2.886E-03, 1.493E-03, 3.583E-03, 2.287E-03, 3.583E-03, 2.875E-03, 1.583E-03, 3.139E-04,
    5222.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:27:02.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 ,  10.3    ,  14.7    ,  20.9    ,  29.8    ,  36.1    ,  41.8    ,  44.3    ,  45.9    ,  41.2    ,  39.8    ,  37.2    ,  25.2    ,  54.0    ,  48.3    ,  48.3    ,  52.6    ,  54.7    ,  57.1    ,  59.3    ,  75.4    ,  62.6    ,  66.1    ,  69.2    ,  75.2    ,  79.5    ,  76.8    ,  70.6    ,  72.1    ,  86.6    ,  93.1    ,  93.4    ,  93.5    ,  112.    , 8.002E-03, 7.336E-03, 5.563E-03, 1.898E-03, 3.312E-03, 7.809E-03, 1.062E-02,-3.685E-03, 1.062E-02, 2.713E-03, 1.096E-02, 2.775E-03,
    5223.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:27:03.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 ,  9.18    ,  21.5    ,  27.6    ,  32.6    ,  39.4    ,  43.0    ,  46.6    ,  44.2    ,  27.9    ,  43.0    ,  38.3    ,  41.1    ,  47.9    ,  62.3    ,  68.0    ,  57.9    ,  57.1    ,  53.6    ,  49.4    ,  68.8    ,  52.5    ,  63.3    ,  66.5    ,  57.8    ,  57.8    ,  57.4    ,  55.9    ,  55.4    ,  75.1    ,  80.4    ,  80.7    ,  81.4    ,  94.7    , 1.981E-03, 1.842E-03, 1.584E-03, 5.948E-04, 2.683E-03, 1.876E-03, 4.086E-03, 1.051E-03, 4.086E-03, 2.618E-03, 2.399E-03, 8.042E-04,
    5224.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:27:04.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 ,  17.7    ,  23.5    ,  32.2    ,  36.5    ,  42.0    ,  45.4    ,  44.6    ,  39.7    ,  36.7    ,  40.0    ,  36.8    ,  45.7    ,  49.9    ,  61.3    ,  65.5    ,  52.9    ,  49.4    ,  38.6    ,  44.2    ,  52.2    ,  49.5    ,  63.7    ,  64.6    ,  55.6    ,  58.3    ,  55.5    ,  55.2    ,  56.8    ,  74.7    ,  80.3    ,  80.5    ,  81.2    ,  92.0    , 1.295E-03, 1.104E-03, 7.599E-04, 2.336E-04, 2.584E-03, 1.283E-03, 3.264E-03, 1.998E-03, 3.264E-03, 2.573E-03, 1.459E-03, 3.033E-04,
    5225.000,Triax 3 Y_entire,N2n0000005_05m24d2020y01:27:05.000,     0.0,GAIN,   1.000,    0.00,  2,DATA,    NONE, 1.000E-06, 0.105    ,3RD_OCT, 0.25 ,  21.3    ,  27.9    ,  31.5    ,  40.4    ,  43.9    ,  46.8    ,  44.2    ,  28.1    ,  38.0    ,  32.9    ,  35.8    ,  40.2    ,  41.1    ,  53.6    ,  54.6    ,  47.5    ,  44.8    ,  35.8    ,  42.0    ,  47.1    ,  51.6    ,  63.6    ,  64.8    ,  58.7    ,  59.0    ,  56.1    ,  54.6    ,  57.3    ,  74.1    ,  79.6    ,  79.8    ,  80.6    ,  90.3    , 1.382E-03, 1.172E-03, 8.128E-04, 2.804E-04, 2.414E-03, 1.372E-03, 3.332E-03, 1.625E-03, 3.332E-03, 2.395E-03, 1.541E-03, 3.567E-04,
