  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      N2n0000005.DAT
  CHANNEL=             3
  CHANNEL_DESCRIPTION= Triax 3 Z
  RMS LEVEL VS TIME
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  3.3333333E-04
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Title Block 0
  TITL01=            Title Block 1
  FRAC-OCT_FREQENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    5216.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:56.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -29.9    , -22.8    , -31.2    , -26.2    , -18.1    , -17.0    , -17.0    , -6.35    , -2.69    ,  6.52    ,  15.0    ,  22.0    ,  27.7    ,  34.7    ,  38.4    ,  47.1    ,  44.6    ,  46.3    ,  47.6    ,  53.6    ,  60.6    ,  74.4    ,  73.7    ,  77.5    ,  77.4    ,  74.6    ,  77.5    ,  77.6    ,  78.1    ,  89.0    ,  89.7    ,  89.9    ,  101.    , 6.811E-03, 5.592E-03, 3.849E-03, 1.683E-03, 4.167E-03, 6.790E-03, 6.403E-03,-1.825E-03, 6.403E-03, 3.969E-03, 7.126E-03, 2.186E-03,
    5217.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:57.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -11.5    , -15.0    , -26.3    , -19.9    , -3.07    ,  1.97    ,  9.19    ,  17.8    ,  24.6    ,  30.4    ,  37.7    ,  42.4    ,  47.0    ,  48.8    ,  41.5    ,  51.6    ,  48.9    ,  48.2    ,  49.1    ,  57.0    ,  59.3    ,  75.6    ,  75.7    ,  77.7    ,  77.8    ,  75.1    ,  77.7    ,  79.6    ,  78.0    ,  89.3    ,  89.9    ,  90.0    ,  101.    , 6.627E-03, 5.422E-03, 3.503E-03, 1.029E-03, 4.197E-03, 6.608E-03, 6.724E-03, 1.152E-03, 6.724E-03, 4.104E-03, 7.111E-03, 1.324E-03,
    5218.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:58.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -6.53    , -7.54    , -2.47    , -3.51    ,  10.8    ,  18.4    ,  25.3    ,  31.3    ,  37.6    ,  42.7    ,  46.7    ,  48.0    ,  47.4    ,  43.6    ,  42.7    ,  53.6    ,  50.5    ,  53.9    ,  54.9    ,  58.8    ,  64.9    ,  77.4    ,  76.5    ,  78.2    ,  79.3    ,  73.3    ,  79.6    ,  79.0    ,  78.2    ,  89.8    ,  90.5    ,  90.6    ,  102.    , 7.358E-03, 6.029E-03, 3.886E-03, 9.958E-04, 4.063E-03, 7.334E-03, 6.654E-03, 1.153E-03, 6.654E-03, 3.937E-03, 7.905E-03, 1.288E-03,
    5219.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:59.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -5.71    ,  3.75    ,  3.10    ,  11.2    ,  20.3    ,  27.0    ,  32.7    ,  39.7    ,  44.3    ,  47.4    ,  48.1    ,  44.5    ,  42.5    ,  42.6    ,  53.0    ,  54.4    ,  59.3    ,  47.1    ,  50.9    ,  53.9    ,  62.1    ,  76.9    ,  75.4    ,  75.6    ,  79.2    ,  76.2    ,  76.1    ,  78.3    ,  77.8    ,  88.9    ,  89.6    ,  89.8    ,  100.    , 7.288E-03, 6.206E-03, 4.504E-03, 1.570E-03, 4.163E-03, 7.212E-03, 7.269E-03,-4.248E-04, 7.269E-03, 3.855E-03, 7.963E-03, 1.983E-03,
    5220.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:00.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -1.74    ,  3.92    ,  12.8    ,  21.0    ,  27.7    ,  33.1    ,  40.5    ,  44.6    ,  47.8    ,  46.1    ,  42.3    ,  38.4    ,  56.5    ,  43.2    ,  56.0    ,  65.7    ,  58.6    ,  57.6    ,  50.7    ,  59.5    ,  61.9    ,  76.1    ,  74.3    ,  76.6    ,  81.4    ,  76.6    ,  75.4    ,  78.0    ,  78.0    ,  89.4    ,  90.0    ,  90.2    ,  102.    , 7.328E-03, 6.070E-03, 4.069E-03, 1.171E-03, 3.836E-03, 7.291E-03, 7.017E-03, 1.001E-03, 7.017E-03, 3.651E-03, 7.714E-03, 1.530E-03,
    5221.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:01.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -2.02    ,  14.2    ,  21.0    ,  27.5    ,  33.3    ,  39.9    ,  44.2    ,  47.1    ,  46.7    ,  37.1    ,  28.6    ,  52.1    ,  62.0    ,  49.1    ,  46.6    ,  62.6    ,  54.4    ,  53.0    ,  44.9    ,  55.3    ,  65.0    ,  77.8    ,  76.6    ,  77.0    ,  80.2    ,  76.0    ,  77.3    ,  78.7    ,  77.8    ,  89.4    ,  90.1    ,  90.3    ,  101.    , 7.543E-03, 6.173E-03, 3.960E-03, 1.004E-03, 3.634E-03, 7.520E-03, 6.712E-03, 5.105E-04, 6.712E-03, 3.493E-03, 8.276E-03, 1.362E-03,
    5222.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:02.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  11.8    ,  16.0    ,  22.2    ,  31.2    ,  37.7    ,  43.5    ,  46.1    ,  47.4    ,  42.6    ,  40.5    ,  37.7    ,  53.8    ,  57.8    ,  45.9    ,  41.8    ,  57.7    ,  54.6    ,  51.8    ,  56.0    ,  69.0    ,  67.1    ,  76.8    ,  76.7    ,  85.6    ,  82.8    ,  81.4    ,  81.3    ,  88.0    ,  88.4    ,  98.4    ,  98.7    ,  98.8    ,  116.    , 1.232E-02, 1.010E-02, 6.725E-03, 1.849E-03, 3.820E-03, 1.225E-02, 1.221E-02,-3.257E-03, 1.221E-02, 3.342E-03, 1.573E-02, 2.858E-03,
    5223.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:03.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  10.9    ,  23.1    ,  29.2    ,  34.1    ,  41.0    ,  44.7    ,  48.3    ,  45.4    ,  31.0    ,  44.0    ,  40.3    ,  49.3    ,  55.0    ,  54.1    ,  61.2    ,  62.7    ,  59.5    ,  55.2    ,  55.6    ,  72.2    ,  65.2    ,  75.6    ,  76.8    ,  77.9    ,  78.6    ,  75.8    ,  77.3    ,  78.1    ,  78.7    ,  89.4    ,  90.1    ,  90.3    ,  101.    , 7.875E-03, 6.635E-03, 4.398E-03, 1.192E-03, 3.358E-03, 7.825E-03, 6.436E-03,-8.112E-04, 6.436E-03, 3.140E-03, 8.341E-03, 1.602E-03,
    5224.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:04.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  19.0    ,  24.8    ,  33.7    ,  38.1    ,  43.6    ,  47.1    ,  46.3    ,  40.1    ,  39.4    ,  40.5    ,  38.9    ,  51.7    ,  56.3    ,  52.6    ,  59.3    ,  61.3    ,  56.0    ,  50.3    ,  55.0    ,  61.5    ,  64.7    ,  77.2    ,  75.6    ,  79.0    ,  78.8    ,  75.7    ,  76.4    ,  77.6    ,  78.7    ,  89.6    ,  90.2    ,  90.3    ,  101.    , 6.907E-03, 5.652E-03, 3.614E-03, 9.186E-04, 3.219E-03, 6.890E-03, 5.937E-03, 6.629E-04, 5.937E-03, 3.085E-03, 7.356E-03, 1.208E-03,
    5225.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:05.000,     0.0,GAIN,   1.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  22.9    ,  29.5    ,  33.0    ,  42.0    ,  45.4    ,  48.7    ,  45.9    ,  29.0    ,  39.2    ,  28.0    ,  35.2    ,  44.9    ,  56.2    ,  48.7    ,  49.9    ,  56.4    ,  54.2    ,  50.3    ,  53.2    ,  56.1    ,  64.5    ,  78.0    ,  75.7    ,  74.7    ,  79.2    ,  75.3    ,  77.8    ,  79.1    ,  78.6    ,  89.4    ,  90.1    ,  90.2    ,  101.    , 7.335E-03, 6.035E-03, 3.878E-03, 1.029E-03, 3.203E-03, 7.312E-03, 6.307E-03,-5.779E-04, 6.307E-03, 3.033E-03, 7.778E-03, 1.334E-03,
