  LXTHIRD_QW_IF__v18-01c    , COMP_2025JAN30  
  TAFFMAT_FILE:      N2n0000005.DAT
  CHANNEL=             3
  CHANNEL_DESCRIPTION= Triax 3 Z
  RUNNING AVERAGE VS TIME: NAVE=           5  WINDOW: SEC=    5.000000    
  RMS AVERAGING TIME: SEC    1.000000    
  WEIGHTING DEFINED IN CAL FILE: DISPWT
  DT=                  3.3333333E-04
  HIPASS=               1.000000    
  LOPASS=               10000.00    
  GAIN=                 1.000000    
  TITL00=            Title Block 0
  TITL01=            Title Block 1
  FRAC-OCT_FREQUENCY=    1000.000      BW=    0.3330000      ORDER=            6
  RIDE_ACCELERATION_IN_PHYSICAL_UNITS
  4th_POWER_DOSE_DATA_IN_VDV
Number  ,Description                   ,Comment                       ,GAIN    ,TYPE,Int_Time ,Speed   ,Chan,Type,Units   ,Reference ,SENS      ,FILTER_,Min_Oct  ,   0.2    ,   0.25   ,   0.316  ,   0.4    ,   0.5    ,   0.63   ,   0.8    ,   1      ,   1.25   ,    1.6   ,      2   ,    2.5   ,   3.15   ,      4   ,      5   ,    6.3   ,      8   ,     10   ,   12.5   ,     16   ,     20   ,     25   ,   31.5   ,     40   ,     50   ,     63   ,     80   ,    100    ,   A-WT   ,   C-WT   ,   F-WT   ,     OA   , F-PEAK   , ISO-WB   , ISO-WK   , ISO-WC   , ISO-WD   ,  EN-WP   ,  EN-WB    , WPMAX    , WPMIN    , WPABS    , WPLIN, WK4th_VDV, WD4th_VDV
    5216.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:56.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -36.9    , -29.8    , -38.2    , -33.1    , -25.0    , -24.0    , -24.0    , -13.3    , -9.68    ,-0.471    ,  8.02    ,  15.0    ,  20.7    ,  27.7    ,  31.4    ,  40.1    ,  37.7    ,  39.3    ,  40.6    ,  46.6    ,  53.6    ,  67.4    ,  66.7    ,  70.5    ,  70.4    ,  67.6    ,  70.5    ,  70.7    ,  71.1    ,  82.0    ,  82.7    ,  82.9    ,  101.    , 3.046E-03, 2.501E-03, 1.721E-03, 7.528E-04, 1.864E-03, 3.037E-03, 6.403E-03,-1.825E-03, 6.403E-03, 7.938E-04, 7.126E-03, 2.186E-03,
    5217.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:57.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -18.4    , -21.3    , -32.1    , -26.0    , -9.93    , -4.96    ,  2.21    ,  10.9    ,  17.6    ,  23.4    ,  30.7    ,  35.5    ,  40.0    ,  42.0    ,  36.3    ,  45.9    ,  43.3    ,  43.3    ,  44.4    ,  51.7    ,  56.0    ,  71.1    ,  70.8    ,  73.6    ,  73.6    ,  70.9    ,  73.6    ,  74.8    ,  74.1    ,  85.2    ,  85.8    ,  86.0    ,  101.    , 4.250E-03, 3.483E-03, 2.327E-03, 8.823E-04, 2.645E-03, 4.237E-03, 6.724E-03,-1.825E-03, 6.724E-03, 1.615E-03, 8.465E-03, 2.256E-03,
    5218.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:58.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -12.3    , -13.7    , -9.44    , -10.4    ,  4.00    ,  11.6    ,  18.4    ,  24.5    ,  30.8    ,  36.0    ,  40.2    ,  42.1    ,  43.2    ,  43.1    ,  39.0    ,  49.3    ,  46.4    ,  48.5    ,  49.5    ,  54.8    ,  60.1    ,  73.7    ,  73.2    ,  75.6    ,  76.0    ,  72.2    ,  76.2    ,  76.6    ,  75.9    ,  87.2    ,  87.8    ,  88.0    ,  102.    , 5.375E-03, 4.405E-03, 2.905E-03, 9.883E-04, 3.209E-03, 5.358E-03, 6.724E-03,-1.825E-03, 6.724E-03, 2.402E-03, 9.751E-03, 2.314E-03,
    5219.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:26:59.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -9.48    , -2.86    , -2.82    ,  4.35    ,  13.8    ,  20.6    ,  26.5    ,  33.3    ,  38.1    ,  41.7    ,  43.7    ,  43.4    ,  43.9    ,  43.8    ,  46.8    ,  51.5    ,  53.3    ,  49.1    ,  50.6    ,  55.4    ,  61.3    ,  75.3    ,  74.5    ,  76.4    ,  77.5    ,  73.9    ,  76.9    ,  77.7    ,  77.1    ,  88.3    ,  88.9    ,  89.1    ,  102.    , 6.286E-03, 5.206E-03, 3.535E-03, 1.212E-03, 3.710E-03, 6.254E-03, 7.269E-03,-1.825E-03, 7.269E-03, 3.173E-03, 1.069E-02, 2.577E-03,
    5220.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:00.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -6.08    , 4.680E-02,  6.41    ,  14.4    ,  21.5    ,  27.2    ,  34.3    ,  39.0    ,  42.7    ,  43.6    ,  44.3    ,  43.7    ,  50.6    ,  44.5    ,  51.0    ,  59.4    ,  55.5    ,  52.9    ,  51.4    ,  57.2    ,  62.2    ,  76.2    ,  75.2    ,  77.2    ,  79.2    ,  75.3    ,  77.5    ,  78.6    ,  78.0    ,  89.3    ,  89.9    ,  90.1    ,  102.    , 7.089E-03, 5.872E-03, 3.976E-03, 1.321E-03, 4.087E-03, 7.053E-03, 7.269E-03,-1.825E-03, 7.269E-03, 3.903E-03, 1.135E-02, 2.654E-03,
    5221.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:01.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 , -4.29    ,  7.94    ,  14.7    ,  21.4    ,  27.5    ,  33.9    ,  39.0    ,  42.6    ,  44.5    ,  43.8    ,  44.3    ,  47.4    ,  56.3    ,  46.4    ,  51.3    ,  60.9    ,  56.1    ,  53.6    ,  51.2    ,  57.4    ,  63.1    ,  76.8    ,  75.8    ,  77.1    ,  79.7    ,  75.6    ,  77.5    ,  78.8    ,  78.0    ,  89.4    ,  90.0    ,  90.2    ,  102.    , 7.236E-03, 5.987E-03, 3.997E-03, 1.174E-03, 3.984E-03, 7.199E-03, 7.269E-03,-4.248E-04, 7.269E-03, 3.808E-03, 1.170E-02, 2.345E-03,
    5222.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:02.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  5.26    ,  11.5    ,  18.0    ,  26.1    ,  32.4    ,  38.4    ,  42.1    ,  44.7    ,  45.0    ,  44.2    ,  44.3    ,  50.0    ,  57.3    ,  45.6    ,  51.3    ,  61.2    ,  56.5    ,  53.9    ,  52.9    ,  63.1    ,  64.7    ,  77.0    ,  76.0    ,  80.5    ,  80.8    ,  77.6    ,  78.5    ,  82.6    ,  82.7    ,  93.2    ,  93.6    ,  93.7    ,  116.    , 8.598E-03, 7.098E-03, 4.751E-03, 1.361E-03, 3.908E-03, 8.552E-03, 1.221E-02,-3.257E-03, 1.221E-02, 3.655E-03, 1.667E-02, 3.112E-03,
    5223.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:03.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  7.63    ,  17.4    ,  23.6    ,  29.6    ,  36.3    ,  41.1    ,  44.7    ,  45.5    ,  44.9    ,  44.4    ,  42.9    ,  50.2    ,  57.7    ,  49.2    ,  55.9    ,  62.2    ,  57.8    ,  54.2    ,  53.2    ,  67.1    ,  64.7    ,  76.7    ,  76.1    ,  80.5    ,  80.7    ,  77.9    ,  78.1    ,  82.6    ,  82.8    ,  93.1    ,  93.6    ,  93.7    ,  116.    , 8.689E-03, 7.205E-03, 4.839E-03, 1.392E-03, 3.772E-03, 8.639E-03, 1.221E-02,-3.257E-03, 1.221E-02, 3.496E-03, 1.673E-02, 3.144E-03,
    5224.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:04.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  13.3    ,  20.6    ,  28.4    ,  33.4    ,  39.4    ,  43.6    ,  45.8    ,  45.6    ,  44.3    ,  42.7    ,  39.2    ,  51.1    ,  58.3    ,  50.7    ,  57.2    ,  62.7    ,  57.1    ,  54.3    ,  53.9    ,  67.3    ,  65.1    ,  76.8    ,  76.1    ,  80.8    ,  80.6    ,  77.8    ,  78.1    ,  82.5    ,  82.8    ,  93.2    ,  93.6    ,  93.7    ,  116.    , 8.626E-03, 7.113E-03, 4.687E-03, 1.270E-03, 3.582E-03, 8.586E-03, 1.221E-02,-3.257E-03, 1.221E-02, 3.342E-03, 1.667E-02, 3.030E-03,
    5225.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:05.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  17.8    ,  24.7    ,  30.4    ,  37.3    ,  41.9    ,  45.7    ,  46.3    ,  44.8    ,  42.2    ,  40.3    ,  37.5    ,  51.3    ,  58.2    ,  51.0    ,  56.6    ,  60.8    ,  56.3    ,  52.5    ,  54.2    ,  67.3    ,  65.4    ,  77.1    ,  76.3    ,  80.7    ,  80.2    ,  77.6    ,  78.4    ,  82.6    ,  82.9    ,  93.2    ,  93.6    ,  93.7    ,  116.    , 8.628E-03, 7.107E-03, 4.655E-03, 1.245E-03, 3.455E-03, 8.590E-03, 1.221E-02,-3.257E-03, 1.221E-02, 3.218E-03, 1.667E-02, 3.009E-03,
    5226.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:06.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  19.4    ,  27.7    ,  34.4    ,  40.2    ,  43.9    ,  46.8    ,  46.1    ,  43.2    ,  39.1    ,  39.9    ,  37.6    ,  50.2    ,  55.6    ,  50.6    ,  56.6    ,  59.5    ,  56.1    ,  55.3    ,  60.0    ,  69.2    ,  66.4    ,  77.3    ,  77.7    ,  80.9    ,  80.6    ,  77.8    ,  78.9    ,  83.2    ,  83.0    ,  93.6    ,  94.1    ,  94.2    ,  116.    , 1.061E-02, 9.139E-03, 6.526E-03, 2.098E-03, 3.709E-03, 1.052E-02, 1.416E-02,-1.466E-02, 1.466E-02, 3.035E-03, 2.269E-02, 6.521E-03,
    5227.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:07.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  24.6    ,  30.6    ,  37.1    ,  42.1    ,  45.4    ,  47.1    ,  45.1    ,  40.5    ,  36.5    ,  38.9    ,  38.2    ,  48.6    ,  54.4    ,  52.9    ,  65.2    ,  73.2    ,  70.2    ,  72.2    ,  70.8    ,  81.2    ,  77.5    ,  80.2    ,  79.5    ,  80.1    ,  80.3    ,  78.4    ,  79.2    ,  80.7    ,  79.2    ,  91.3    ,  93.4    ,  93.5    ,  107.    , 2.315E-02, 2.240E-02, 2.059E-02, 1.085E-02, 1.166E-02, 2.242E-02, 4.239E-02,-4.434E-02, 4.434E-02, 3.638E-03, 6.029E-02, 2.775E-02,
    5228.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:08.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  25.5    ,  33.2    ,  38.4    ,  43.4    ,  46.4    ,  47.2    ,  42.9    ,  36.9    ,  38.5    ,  46.9    ,  58.7    ,  65.9    ,  66.9    ,  56.8    ,  73.6    ,  83.2    ,  76.5    ,  74.5    ,  74.0    ,  82.0    ,  79.3    ,  84.5    ,  80.2    ,  80.7    ,  81.1    ,  79.8    ,  84.3    ,  81.2    ,  79.4    ,  92.4    ,  95.2    ,  95.3    ,  109.    , 3.430E-02, 3.377E-02, 3.221E-02, 1.654E-02, 1.691E-02, 3.285E-02, 5.618E-02,-5.447E-02, 5.618E-02, 3.324E-03, 7.777E-02, 3.590E-02,
    5229.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:09.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  29.2    ,  35.2    ,  41.2    ,  44.9    ,  46.9    ,  46.6    ,  40.5    ,  35.6    ,  47.3    ,  62.2    ,  71.2    ,  74.9    ,  72.6    ,  64.4    ,  74.0    ,  87.8    ,  77.2    ,  77.2    ,  74.6    ,  82.3    ,  80.2    ,  84.8    ,  80.4    ,  80.7    ,  81.1    ,  80.1    ,  87.8    ,  81.3    ,  79.6    ,  93.2    ,  96.0    ,  96.1    ,  109.    , 3.775E-02, 3.721E-02, 3.554E-02, 1.802E-02, 1.826E-02, 3.610E-02, 5.618E-02,-5.447E-02, 5.618E-02, 2.762E-03, 7.984E-02, 3.718E-02,
    5230.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:10.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  31.3    ,  37.5    ,  42.7    ,  46.2    ,  47.1    ,  45.2    ,  36.1    ,  39.4    ,  54.0    ,  69.8    ,  78.2    ,  78.3    ,  73.0    ,  64.6    ,  74.1    ,  88.8    ,  77.4    ,  77.4    ,  74.7    ,  82.4    ,  80.7    ,  85.0    ,  80.5    ,  81.7    ,  81.3    ,  80.4    ,  89.7    ,  81.5    ,  80.1    ,  94.0    ,  96.6    ,  96.7    ,  109.    , 3.872E-02, 3.805E-02, 3.612E-02, 1.816E-02, 1.837E-02, 3.706E-02, 5.618E-02,-5.447E-02, 5.618E-02, 2.624E-03, 7.999E-02, 3.719E-02,
    5231.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:11.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  32.6    ,  39.0    ,  43.6    ,  47.0    ,  46.8    ,  43.3    ,  32.8    ,  42.8    ,  58.8    ,  72.8    ,  81.5    ,  79.7    ,  73.2    ,  64.9    ,  74.2    ,  88.9    ,  77.6    ,  77.8    ,  74.7    ,  82.4    ,  80.9    ,  85.1    ,  79.9    ,  82.1    ,  81.3    ,  80.7    ,  91.0    ,  80.9    ,  80.9    ,  94.5    ,  96.9    ,  97.0    ,  109.    , 3.880E-02, 3.812E-02, 3.626E-02, 1.827E-02, 1.848E-02, 3.714E-02, 5.618E-02,-5.447E-02, 5.618E-02, 2.649E-03, 7.997E-02, 3.720E-02,
    5232.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:12.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  35.7    ,  40.9    ,  45.3    ,  47.3    ,  46.0    ,  41.5    ,  34.0    ,  44.7    ,  61.2    ,  73.8    ,  82.2    ,  79.9    ,  73.4    ,  66.1    ,  73.7    ,  88.8    ,  77.1    ,  76.8    ,  73.2    ,  77.1    ,  79.4    ,  85.2    ,  78.3    ,  81.1    ,  80.7    ,  80.0    ,  91.9    ,  82.0    ,  82.4    ,  95.2    ,  97.0    ,  97.1    ,  110.    , 3.434E-02, 3.369E-02, 3.275E-02, 1.707E-02, 1.698E-02, 3.286E-02, 5.618E-02,-5.447E-02, 5.618E-02, 1.688E-03, 7.335E-02, 3.539E-02,
    5233.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:13.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  36.1    ,  41.9    ,  45.8    ,  47.3    ,  44.7    ,  39.6    ,  38.3    ,  46.3    ,  62.1    ,  73.9    ,  82.2    ,  79.9    ,  72.5    ,  68.0    ,  66.4    ,  87.8    ,  73.5    ,  76.9    ,  70.0    ,  73.7    ,  78.6    ,  83.6    ,  77.4    ,  80.6    ,  79.8    ,  79.5    ,  92.3    ,  81.8    ,  83.4    ,  95.6    ,  96.9    ,  96.9    ,  110.    , 2.662E-02, 2.573E-02, 2.463E-02, 1.308E-02, 1.318E-02, 2.574E-02, 3.674E-02,-4.987E-02, 4.987E-02, 1.694E-03, 5.257E-02, 2.774E-02,
    5234.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:14.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  38.5    ,  43.5    ,  46.2    ,  47.1    ,  43.1    ,  39.7    ,  40.5    ,  48.1    ,  62.2    ,  74.1    ,  82.0    ,  80.0    ,  68.3    ,  67.4    ,  64.9    ,  83.9    ,  75.8    ,  77.9    ,  69.1    ,  71.2    ,  78.9    ,  84.9    ,  77.5    ,  82.5    ,  80.4    ,  79.7    ,  91.4    ,  83.0    ,  84.6    ,  95.9    ,  97.0    ,  97.1    ,  110.    , 2.407E-02, 2.302E-02, 2.176E-02, 1.195E-02, 1.239E-02, 2.350E-02, 3.674E-02,-3.607E-02, 3.674E-02, 2.592E-03, 4.613E-02, 2.477E-02,
    5235.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:15.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  39.7    ,  44.1    ,  46.9    ,  46.2    ,  42.0    ,  40.9    ,  42.6    ,  49.3    ,  61.8    ,  73.1    ,  80.9    ,  80.6    ,  73.4    ,  68.4    ,  65.1    ,  79.7    ,  77.2    ,  79.0    ,  70.0    ,  72.8    ,  79.2    ,  86.2    ,  78.6    ,  82.4    ,  80.6    ,  79.5    ,  90.2    ,  83.1    ,  86.2    ,  96.4    ,  97.6    ,  97.7    ,  111.    , 2.805E-02, 2.673E-02, 2.423E-02, 1.276E-02, 1.300E-02, 2.738E-02, 3.674E-02,-3.607E-02, 3.674E-02, 1.691E-03, 5.677E-02, 2.558E-02,
    5236.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:16.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  40.6    ,  45.5    ,  46.8    ,  44.5    ,  42.3    ,  42.1    ,  43.9    ,  49.4    ,  60.5    ,  71.4    ,  77.1    ,  80.5    ,  75.0    ,  68.9    ,  67.0    ,  80.6    ,  77.8    ,  81.1    ,  72.8    ,  73.3    ,  82.2    ,  87.5    ,  79.0    ,  82.1    ,  79.9    ,  78.9    ,  88.6    ,  83.0    ,  87.7    ,  97.4    ,  98.4    ,  98.5    ,  112.    , 2.963E-02, 2.838E-02, 2.558E-02, 1.319E-02, 1.351E-02, 2.889E-02, 3.674E-02,-3.607E-02, 3.674E-02, 2.214E-03, 5.836E-02, 2.591E-02,
    5237.000,Triax 3 Z_entire,N2n0000005_05m24d2020y01:27:17.000,     0.0,GAIN,   5.000,    0.00,  3,DATA,    NONE, 1.000E-06, 9.510E-02,3RD_OCT, 0.25 ,  42.4    ,  45.7    ,  46.4    ,  43.1    ,  43.8    ,  42.6    ,  45.9    ,  50.1    ,  60.0    ,  70.6    ,  74.3    ,  80.8    ,  76.2    ,  71.1    ,  70.7    ,  80.8    ,  80.0    ,  82.1    ,  73.3    ,  74.7    ,  81.9    ,  87.7    ,  80.0    ,  82.4    ,  80.2    ,  78.6    ,  86.3    ,  81.9    ,  88.6    ,  97.6    ,  98.8    ,  99.0    ,  113.    , 3.231E-02, 3.159E-02, 3.239E-02, 2.245E-02, 2.312E-02, 3.142E-02, 7.872E-02,-6.890E-02, 7.872E-02, 1.446E-03, 6.713E-02, 5.331E-02,
